evidence_id,application_slug,framework,control_id,sha256,embedding
aa874427-a984-49bc-befd-35e4ad31b687,mobile-banking,PCI_DSS,PCI-DSS-6.3,2773c02f2a59de78491cb7642d0456da8ef3e87c3a4238930a31736b78484c24,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12216944,0,0,0,0,0,0,0,0,0,0.61084723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12216944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24433888,0,0,-0.12216944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12216944,0,0,0,0,0,0,0,0,0,0.24433888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12216944,0,0,0,0,0,0,0,-0.12216944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12216944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12216944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61084723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12216944,0,0,0,0,0]"
da4115cf-7873-4005-8bf5-a561dd623ebc,mobile-banking,ITPP,ITPP-CHG-02,9bafb81e2f356f2234f73ecc2a79d64805080d6fdcc46b7eaddbe09503eb482d,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12909944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38729835,0,0.12909944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2581989,0,0,-0.12909944,0,0,0,0,0,0,0,0,0,0,0,0,-0.6454972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12909944,0,0,0,0,0,0,0,0,0,0.2581989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12909944,0,0,0,0,0,0,0,-0.12909944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12909944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12909944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38729835,0,0,0,0,0,0,0,0,0,0.12909944,0,0,0,0,0]"
706bb338-5ab0-4f68-9d01-9f0e66d393eb,net-banking,PCI_DSS,PCI-DSS-6.3,b2317796fb07ba10359280689095700c0c6105aef580ed52c6ec8c42b1990c40,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12216944,0,0,0.12216944,0,0,0,0,0,0,0,0,0,0.61084723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12216944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24433888,0,0,-0.12216944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12216944,0,0,0,0,0,0,0,0,0,0.24433888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12216944,0,0,0,0,0,0,0,-0.12216944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12216944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61084723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12216944,0,0,0,0,0]"
ba379462-2d88-4ffe-9589-ff9eca3f395c,net-banking,ITPP,ITPP-CHG-02,cda45cac5684512c30105080c516a0c3a0bcc91db487cdc091a9bd540a6d6cca,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12909944,0,0,0.12909944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38729835,0,0.12909944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2581989,0,0,-0.12909944,0,0,0,0,0,0,0,0,0,0,0,0,-0.6454972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12909944,0,0,0,0,0,0,0,0,0,0.2581989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12909944,0,0,0,0,0,0,0,-0.12909944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12909944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38729835,0,0,0,0,0,0,0,0,0,0.12909944,0,0,0,0,0]"
365eb377-3c4e-4702-805c-e2964edf7084,payments,PCI_DSS,PCI-DSS-6.3,90f4a5443a1324ef66471a97eb6ed12867eb6105f9d03ee7eb381ce7f234b03c,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12126781,0,0,0,0,0,0,0,0,0,0.60633904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12126781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12126781,0,0,0,0,0.24253562,0,0,-0.12126781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12126781,0,0,0,0,0,0,0,0,0,0.24253562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12126781,0,0,0,0,0,0,-0.12126781,-0.12126781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12126781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60633904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12126781,0,0,0,0,0]"
972e9f4a-4155-430e-84e7-4762df5600d7,payments,ITPP,ITPP-CHG-02,e5bd892dbbce1b402003803b1b1a23ce6b592e57f79ef5644086de5542dc8124,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12803689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38411063,0,0.12803689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12803689,0,0,0,0,0.25607377,0,0,-0.12803689,0,0,0,0,0,0,0,0,0,0,0,0,-0.6401844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12803689,0,0,0,0,0,0,0,0,0,0.25607377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12803689,0,0,0,0,0,0,-0.12803689,-0.12803689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12803689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38411063,0,0,0,0,0,0,0,0,0,0.12803689,0,0,0,0,0]"
cdea9457-c24f-4e08-b45d-e202aa9490cf,mobile-banking,ITPP,ITPP-INC-01,54c4e03b4883f4cea54a54a8837a16d4fb880bfe7782925293061124802ff493,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13018891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13018891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26037782,0,0,-0.13018891,0,0,0,0,0,0,0,0,0,0,0,0,-0.65094453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13018891,0,0,0,0,0,0,0,0,0.39056674,0,0,0,0,0,0,0,0,-0.26037782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13018891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13018891,0,0,0,0,0,0,0,0,0,0,0,-0.39056674,0,0,0,0,0,0,0,0,0.13018891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13018891,0,0,0,0,0]"
9e6ae6ef-1bcd-47e2-a09e-e72210147dbd,mobile-banking,PCI_DSS,PCI-DSS-12.10,83a4560f72ee065092f6635fa0838d11b18d06a37058131e3a49989c3a3599a5,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10910895,0,0,0,0.54554474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10910895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2182179,0,0,-0.10910895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10910895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2182179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10910895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10910895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10910895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.32732683,0,0,0,0,0,0,0,-0.32732683,0,0,0,0,0,0,0,0,0.54554474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10910895,0,0,0,0,0]"
cdbe3631-b8da-4a58-b0e7-08a4126f8b62,net-banking,ITPP,ITPP-INC-01,c6810c7cc2a8afceb3be8e01795373e9203030b5934f59d211df35e9cab6996a,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13018891,0,0,0,0,0,0,0,0,0.13018891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13018891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26037782,0,0,-0.13018891,0,0,0,0,0,0,0,0,0,0,0,0,-0.65094453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13018891,0,0,0,0,0,0,0,0,0.39056674,0,0,0,0,0,0,0,0,-0.26037782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13018891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13018891,0,0,0,0,0,0,0,0,0,0,0,-0.39056674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13018891,0,0,0,0,0]"
38644077-e00d-41a7-98bb-a9d101bc849f,net-banking,PCI_DSS,PCI-DSS-12.10,a579056be76093998aadeff079371f846005eca86528d4f0b49d9e0e0ae93864,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10910895,0,0,0,0,0,0,0,0,0.10910895,0,0,0,0.54554474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10910895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2182179,0,0,-0.10910895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10910895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2182179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10910895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10910895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.32732683,0,0,0,0,0,0,0,-0.32732683,0,0,0,0,0,0,0,0,0.54554474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10910895,0,0,0,0,0]"
