id,evidence_record_id,version_number,sha256,content_type,size_bytes,object_key,collected_at,collected_by,ingestion_run_id,created_at
c48ea2c8-43b7-4c9d-94f9-bdaa4fd8e33c,d7c75fed-d1f6-4387-92bc-643a6be73619,1,7096c2b7964b56ad00016bd9f127a0fdb1b6c2f06ad0e797381bf5796bc63a07,application/json,254,evidence/d7c75fed-d1f6-4387-92bc-643a6be73619/v1/7096c2b7964b56ad00016bd9f127a0fdb1b6c2f06ad0e797381bf5796bc63a07,2026-09-11 11:30:39+00,SERVICENOW,d55f9753-ec9c-405a-8304-71d591e8d7b4,2026-09-11 11:30:40.269166+00
2cde1e26-925c-4b71-9f8c-9eda33812ea9,133172bf-2ebc-44b1-a5ea-64d13da66e1b,1,804c6ad26701569e6ba7531b955a2143ed53c87e54aec08f366438d067754db4,application/json,240,evidence/133172bf-2ebc-44b1-a5ea-64d13da66e1b/v1/804c6ad26701569e6ba7531b955a2143ed53c87e54aec08f366438d067754db4,2026-09-11 11:30:39+00,SERVICENOW,d55f9753-ec9c-405a-8304-71d591e8d7b4,2026-09-11 11:30:40.11154+00
df390a96-783a-4259-9bda-45f51773058b,ef4bcc7f-8475-4514-b409-80f441a71f17,1,e0d31bf7275c1803bbfce7e8ee4b612f31031edd585b1c3aa0477d22a6cbe09d,application/json,239,evidence/ef4bcc7f-8475-4514-b409-80f441a71f17/v1/e0d31bf7275c1803bbfce7e8ee4b612f31031edd585b1c3aa0477d22a6cbe09d,2026-09-11 11:30:39+00,SERVICENOW,d55f9753-ec9c-405a-8304-71d591e8d7b4,2026-09-11 11:30:39.92788+00
216ff1fa-7c80-4079-aabc-55f331afd95f,154eff0e-2769-4b8b-aa06-39785c812044,1,2fcec02b46f117cce7caf82ddef656d0bea4d9dc395b78407159beaf0f9c706d,application/json,257,evidence/154eff0e-2769-4b8b-aa06-39785c812044/v1/2fcec02b46f117cce7caf82ddef656d0bea4d9dc395b78407159beaf0f9c706d,2026-09-11 11:30:39+00,SERVICENOW,d55f9753-ec9c-405a-8304-71d591e8d7b4,2026-09-11 11:30:39.735607+00
8359c46a-265b-4f0d-9394-6448e2e3a927,85ddba5a-a66b-4116-9273-d76fb4110393,1,19817c672d71bd0861cedf2f4d73002666d2234e1f049b2c94591d0e3939a060,application/json,243,evidence/85ddba5a-a66b-4116-9273-d76fb4110393/v1/19817c672d71bd0861cedf2f4d73002666d2234e1f049b2c94591d0e3939a060,2026-09-11 11:30:39+00,SERVICENOW,d55f9753-ec9c-405a-8304-71d591e8d7b4,2026-09-11 11:30:39.5526+00
834cc40e-a195-4e2a-8b04-24cadea2f92e,3eb31cd6-bb9d-4425-a55d-26cde74eb6a2,1,97889c6d042a0366f761473d37b4d1d22de44d0c7b638902e6be93bb6dc8df22,application/json,242,evidence/3eb31cd6-bb9d-4425-a55d-26cde74eb6a2/v1/97889c6d042a0366f761473d37b4d1d22de44d0c7b638902e6be93bb6dc8df22,2026-09-11 11:30:39+00,SERVICENOW,d55f9753-ec9c-405a-8304-71d591e8d7b4,2026-09-11 11:30:39.386054+00
e9b1232a-d9ab-4db6-99c6-0c4e43456325,faf039a9-49e2-4e57-a109-5348504c51af,1,6894117c02588fba8ee7e4b87b197066242f1fdf5e125ba4f39319e8882d4d20,application/json,260,evidence/faf039a9-49e2-4e57-a109-5348504c51af/v1/6894117c02588fba8ee7e4b87b197066242f1fdf5e125ba4f39319e8882d4d20,2026-09-11 11:30:38+00,SERVICENOW,d55f9753-ec9c-405a-8304-71d591e8d7b4,2026-09-11 11:30:39.247211+00
86ce46ab-80d9-4c82-bad3-ca775243ea1a,0cbba80a-7fb6-445e-b910-4c2f3cc82291,1,6fc7da62682a74ab990023c4a6f1b7b3245f975ef38a37d38dfabe8ab229dd4b,application/json,246,evidence/0cbba80a-7fb6-445e-b910-4c2f3cc82291/v1/6fc7da62682a74ab990023c4a6f1b7b3245f975ef38a37d38dfabe8ab229dd4b,2026-09-11 11:30:38+00,SERVICENOW,d55f9753-ec9c-405a-8304-71d591e8d7b4,2026-09-11 11:30:39.073371+00
03226589-3de0-4e2b-a4f0-bce3b898f195,3a6f538f-dabf-44fa-9bdf-68b6d7ad1f51,1,d18ca51ebe99fbf3f190a9230b4202ac5a498cbbb8beef5fb6e5a693751acec2,application/json,245,evidence/3a6f538f-dabf-44fa-9bdf-68b6d7ad1f51/v1/d18ca51ebe99fbf3f190a9230b4202ac5a498cbbb8beef5fb6e5a693751acec2,2026-09-11 11:30:38+00,SERVICENOW,d55f9753-ec9c-405a-8304-71d591e8d7b4,2026-09-11 11:30:38.754649+00
194fd0d1-1876-419f-89f9-e9b3c66cbe60,3c427540-629c-4d58-b1ee-119170ad7937,1,9aaa9249efbb007015beb1fc80d8a8e1d020c2b6758a63a284a689581ed26e67,application/json,245,evidence/3c427540-629c-4d58-b1ee-119170ad7937/v1/9aaa9249efbb007015beb1fc80d8a8e1d020c2b6758a63a284a689581ed26e67,2026-09-11 11:30:38+00,SHAREPOINT,d55f9753-ec9c-405a-8304-71d591e8d7b4,2026-09-11 11:30:38.521124+00
81d7eb66-aaed-4489-b715-73c6a5cbba2b,ac3a164f-5ced-435e-8218-9a5cb9b24b37,1,919e78f3ed5fa277e65aed20f7e6caeba29f2fc114b325bd14ab12eecb17b32d,application/json,240,evidence/ac3a164f-5ced-435e-8218-9a5cb9b24b37/v1/919e78f3ed5fa277e65aed20f7e6caeba29f2fc114b325bd14ab12eecb17b32d,2026-09-11 11:30:38+00,SHAREPOINT,d55f9753-ec9c-405a-8304-71d591e8d7b4,2026-09-11 11:30:38.384478+00
e418409e-28c4-4e28-9bc3-b9278bcdda5d,f5111da2-d4f4-42aa-8404-5374de1a68ab,1,3a4ffffe3e79bb3a13f01930a69400d0f6eb3852857216b1f2f54b79b084c146,application/json,240,evidence/f5111da2-d4f4-42aa-8404-5374de1a68ab/v1/3a4ffffe3e79bb3a13f01930a69400d0f6eb3852857216b1f2f54b79b084c146,2026-09-11 11:30:38+00,SHAREPOINT,d55f9753-ec9c-405a-8304-71d591e8d7b4,2026-09-11 11:30:38.245696+00
